group_id,post_id,id_graphql,link_post,public_time_post,first_collect_time_post,lastest_collect_time_post,content_text_post,number_like_post,number_love_post,number_support_post,number_haha_post,number_wow_post,number_sorry_post,number_anger_post,number_share_post,number_cmt_post,number_old_cmt_post,number_reaction_post,place_post,hastag_post,image_link_post,image_content_post,source_crawl_post,type_source_post,user_post
170785923686792,750003495765029,ZmVlZGJhY2s6NzUwMDAzNDk1NzY1MDI5,https://www.facebook.com/groups/170785923686792/permalink/750003495765029,2020-07-28,2020-08-03,2020-08-03,"[GÓC TRI ÂN] TẶNG MÃ ƯU ĐÃI 25% KHI MUA SẢN PHẨM TỪ KICHI KICHI, MANWAH, GOGI HOUSE, ASHIMA, SUMO, 🎁,  Nhập code: , IKKSB1,  tại link: , https://bit.ly/iCOOKxKoSoBeo, Tặng thêm 50 code IKKSB1 đến hết ngày 2/8!!, Trong 3 ngày qua, member group đã ủng hộ iCOOK rất nhiều nên mình xin phép extend ngày và mã code ạ. Cảm ơn mng đã ủng hộ ạ , <3, Chào mọi người, mình tàu ngầm trong group cũng được một thời gian. Thi thoảng đọc được những bài review tốt về sản phẩm của iCOOK, bản thân mình, là người thuộc nhãn hàng thấy rất hạnh phúc vì sản phẩm bên mình được mọi người đón nhận và ủng hộ như vậy. , ❤️,  Nhân dịp sinh nhật 7 năm của iCOOK, để tri ân và mong muốn nhiều bạn trải nghiệm sản phẩm hơn nữa, được sự đồng ý của admin, bên mình dành tặng riêng các member của group code giảm 25%: , IKKSB1,  khi đặt hàng qua website: , https://bit.ly/iCOOKxKoSoBeo, Với mình, ăn ở nhà cũng là một cách để kết nối những người thân sau ngày dài mệt mỏi. Hơn nữa, trong thời điểm tình hình dịch bệnh diễn biến khá phức tạp, ""ở nhà"" sẽ là cụm từ mà tất cả chúng ta cần phải làm quen. Và việc đa dạng hương vị món ăn với chất lượng nhà hàng của Kichi, Manwah, GoGi House,... từ iCOOK có lẽ là sự lựa chọn thú vị cho cả nhà , <3, ., Giới thiệu một chút về iCOOK: Chúng mình là thương hiệu thuộc Golden Gate, phân phối trực tiếp các sản phẩm từ chuỗi (Kichi Kichi, GoGi, Manwah, Ashima, Sumo)., ❤️,  Sản phẩm của iCOOK gồm:, - Nước lẩu từ nhà hàng Kichi, Ashima và GoGi với công thức chuẩn nhà hàng, nguyên liệu tự nhiên, 100% không chất bảo quản , - Xúc xích phomai, đồ viên và há cảo đầy ắp nhân thịt với lớp vỏ mềm mịn từ nhà hàng Manwah, Hutong, - Sốt chấm lẩu nhà hàng Kichi và sốt ướp, sốt chấm thịt nướng từ Sumo, - Thịt bò Mỹ cao cấp với chứng nhận USDA Choice được sơ chế hợp với món lẩu và nướng được tin dùng tại 300+ nhà hàng trên toàn quốc, -\-\-\-\-\-\-, >> Và trên hết, với chi phí tiết kiệm đến 50% so với ăn tại nhà hàng, bạn đã có thể thưởng thức các món ngon chuẩn vị ngay tại nhà., ‼️,  Lưu ý khi dùng code:, - Có 200 code được phát hành và có hiệu lực từ ngày 28/7 đến hết ngày 31/7/2020, - Code được áp dụng cho đơn hàng tối thiểu 500k (giá sau giảm), - Mã code áp dụng với các mặt hàng ĐẶC BIỆT, giành riêng cho group Review đồ ăn  - Không sợ béo tại link , https://bit.ly/iCOOKxKoSoBeo, Cảm ơn admin đã tạo điều kiện cho iCOOK., Mong rằng sẽ dược đón tiếp phục vụ thật nhiều member trong hội. Chúc mọi người một tuần vui vẻ và may mắn ^^",36,12,3,1,2,0,0,0,44,44,54,,,https://scontent.fhan5-3.fna.fbcdn.net/v/t1.0-9/116408441_10163970590155321_8187021929732658147_o.jpg?_nc_cat=111&_nc_sid=07e735&_nc_ohc=VB6D95ofeaYAX8zdOn9&_nc_ht=scontent.fhan5-3.fna&oh=8a7c8304255edfb85d475f304f106075&oe=5F4D70F4 https://scontent.fhan5-3.fna.fbcdn.net/v/t1.0-9/116154896_10163970584185321_5071932101154497780_o.jpg?_nc_cat=106&_nc_sid=07e735&_nc_ohc=ISquyZXk2UMAX_bBArt&_nc_ht=scontent.fhan5-3.fna&oh=c6fbc465644a491fb315ec5645a940d6&oe=5F4CBEDC https://scontent.fhan5-7.fna.fbcdn.net/v/t1.0-9/116337143_10163970584030321_1706503236071311253_o.jpg?_nc_cat=103&_nc_sid=07e735&_nc_ohc=WfkNeZAh8BsAX8WuTh6&_nc_ht=scontent.fhan5-7.fna&oh=80487d993fccd63dd512cfd2cb9401cb&oe=5F4CD690 https://scontent.fhan5-5.fna.fbcdn.net/v/t1.0-9/109911383_10163970863895321_2522588159448914706_o.jpg?_nc_cat=101&_nc_sid=07e735&_nc_ohc=y4sT91SNQ_EAX9TDSYU&_nc_ht=scontent.fhan5-5.fna&oh=ebe63881054f6be68bd412f2e0752483&oe=5F4C4F9E," 2 người, mọi người đang ăn, mọi người đang ngồi, bàn, món ăn và trong nhà, món ăn, món ăn",FACEBOOK,SOCIAL_NETWORK,610525320
170785923686792,749967942435251,ZmVlZGJhY2s6NzQ5OTY3OTQyNDM1MjUx,https://www.facebook.com/groups/170785923686792/permalink/749967942435251,2020-07-28,2020-08-03,2020-08-03,"Ở 1 mình vẫn phải đàng hoàng , 😂,  Sv cuối tháng.",342,9,1,4,3,0,0,0,52,52,359,,,https://scontent.fhan5-6.fna.fbcdn.net/v/t1.0-9/109775156_1016816952093628_4124719913234027761_o.jpg?_nc_cat=105&_nc_sid=ca434c&_nc_ohc=oqqYYuCJSOoAX9sHVaG&_nc_ht=scontent.fhan5-6.fna&oh=69578f7be1b823345cd08913bf2eff96&oe=5F4F1081,,FACEBOOK,SOCIAL_NETWORK,100012959983091
170785923686792,524900148275366,ZmVlZGJhY2s6NTI0OTAwMTQ4Mjc1MzY2,https://www.facebook.com/groups/170785923686792/permalink/524900148275366,2019-09-14,2020-08-03,2020-08-03,"- Ngày mai anh nghỉ, e muốn ăn gì ?,  - E muốn ăn gà chiên mắm,  - Ok!,  Gợi ý cho các bạn nam nấu đồ ăn nhanh gọn cho gia đình or bạn gái. Mình chỉ nấu cho bạn gái mình thôi vì mình đi làm xa gia đình , :),  Về công thức mình ko có cụ thể đâu mình nêm nếm theo cảm tính thôi @@",439,35,0,3,13,1,0,79,53,53,491,,,https://scontent.fhan5-7.fna.fbcdn.net/v/t1.0-9/70150125_946624995696694_3859743888935747584_o.jpg?_nc_cat=103&_nc_sid=07e735&_nc_ohc=08Pk8THPPJwAX_RQBSn&_nc_ht=scontent.fhan5-7.fna&oh=17ba4f58e0786e84885cff6def34028e&oe=5F4C70F0 https://scontent.fhan5-3.fna.fbcdn.net/v/t1.0-9/70164570_946625082363352_3766660235255611392_o.jpg?_nc_cat=111&_nc_sid=07e735&_nc_ohc=XKFBYluFkw4AX991vc0&_nc_ht=scontent.fhan5-3.fna&oh=a7d364973dcff9ec711ec9cfb9ca825a&oe=5F4D94C4 https://scontent.fhan5-6.fna.fbcdn.net/v/t1.0-9/70003470_946625195696674_391636356662558720_o.jpg?_nc_cat=105&_nc_sid=07e735&_nc_ohc=HyjtDoE8cKsAX8Wgjvu&_nc_ht=scontent.fhan5-6.fna&oh=abb90e8f584e61c63e64e056237a59bf&oe=5F4BB69F https://scontent.fhan5-5.fna.fbcdn.net/v/t1.0-9/69893604_946625299029997_7325097174646128640_o.jpg?_nc_cat=108&_nc_sid=07e735&_nc_ohc=IGZlXJKrSiIAX-qw4Wd&_nc_ht=scontent.fhan5-5.fna&oh=ef4e60361645e29eddda1f1a97dd1cb5&oe=5F4EBCC1 https://scontent.fhan5-5.fna.fbcdn.net/v/t1.0-9/70349086_946625389029988_2357276135936491520_o.jpg?_nc_cat=101&_nc_sid=07e735&_nc_ohc=am48AQxN5ecAX8I4gTz&_nc_ht=scontent.fhan5-5.fna&oh=f4e02a24f63f8cd6088912ca6c800e60&oe=5F4D85FC," món ăn, 'Thit bo xào hoa thien ly CTRL Cá lóc kho nghệ Canh trűng cà chua', 1 người, món ăn, món ăn, món ăn, 'Canh chua cá gi ko biet Cánh gà Rau củ xào chiên mam'",FACEBOOK,SOCIAL_NETWORK,100010476078980
170785923686792,750067555758623,ZmVlZGJhY2s6NzUwMDY3NTU1NzU4NjIz,https://www.facebook.com/groups/170785923686792/permalink/750067555758623,2020-07-28,2020-08-03,2020-08-03,Ngày đều 3 bữa như thế này mọi người ạ.,184,3,0,3,0,0,0,1,34,34,190,,,https://scontent.fhan5-3.fna.fbcdn.net/v/t1.0-9/116028868_10213708597347744_6168965517995123272_n.jpg?_nc_cat=111&_nc_sid=07e735&_nc_ohc=_nUGUCqibcQAX86sYOA&_nc_ht=scontent.fhan5-3.fna&oh=b12f4a27de5b4648ea511b784e0fd153&oe=5F4F0DED https://scontent.fhan5-6.fna.fbcdn.net/v/t1.0-9/109778744_10213708598067762_5662771985675593717_n.jpg?_nc_cat=105&_nc_sid=07e735&_nc_ohc=NApljUtWm1UAX-c_wEN&_nc_ht=scontent.fhan5-6.fna&oh=ff1c7f801798707cc7e3599484e2d0ff&oe=5F4DACC1 https://scontent.fhan5-3.fna.fbcdn.net/v/t1.0-9/116141292_10213708597827756_2714981860561257802_n.jpg?_nc_cat=111&_nc_sid=07e735&_nc_ohc=4OV9_tBMCusAX8IhcSy&_nc_ht=scontent.fhan5-3.fna&oh=dea797b383db076cc9b3211a31643286&oe=5F4BAB7A https://scontent.fhan5-4.fna.fbcdn.net/v/t1.0-9/116153595_10213708597547749_2417536897640962749_n.jpg?_nc_cat=104&_nc_sid=07e735&_nc_ohc=ZQf6nki6AjUAX_zQgPK&_nc_ht=scontent.fhan5-4.fna&oh=efaab89e731183fe8577c8cfcecb0b9b&oe=5F4DA011," trái cây và món ăn, món ăn, món ăn",FACEBOOK,SOCIAL_NETWORK,1789588048
170785923686792,750233585742020,ZmVlZGJhY2s6NzUwMjMzNTg1NzQyMDIw,https://www.facebook.com/groups/170785923686792/permalink/750233585742020,2020-07-28,2020-08-03,2020-08-03,"Gà nướng lửa hồng cùng 8 loại sốt ngon vô địch thiên hạ , =), ), Gà ở đây giá hơi cao nhưng chất lượng mang lại thiệt sự là rất oke luôn. Bạn mình dẫn mình đi nên mới biết, ăn xong cái bị nghiện đòi nó dẫn đi ăn quài , 📷, - Như thường lệ mình order Combo gà nguyên con kèm với 4 side dishes là bắp, salad, bánh mì nướng và khoai tây chiên, giá combo là 430k nha, ai mua lẻ gà thì giá là 330k. Bọn mình chọn gà nướng không có sốt để ăn, gà được nướng lửa hồng nên thịt thơm nóng hổi từ bên trong luôn. Lớp da bên ngoài có độ giòn nhẹ ăn rất bắt vị. Ở đây có tới 8 loại sốt như sốt Chickita, sốt tiêu đen, sốt xoài, sốt muối ớt xanh, sốt chanh dây,.... nhưng mình thích nhất và cũng highly recommend là mọi người nên thử sốt xí muội chua chua Sweet Baby nha, chấm vào thấm vị ăn đã lắm. , 📷, - Ngoài gà nướng ra thì mình còn order thêm 2 phần tacos gà 90k và tacos tôm 95k. Bất ngờ là 2 miếng tacos nhỏ được đặt trong cái dĩa bự chảng , 📷, - Thêm món “guộc” doritos crumble chân ái (mình quên giá rồi). Giống như snack quết lớp sốt phô mai vậy đó, ngon lắm , 📷, Không gian kiểu sang trọng với mấy ánh đèn neon khá đẹp, sống ảo được ngàn like luôn nha kaka , 📷, Chickita - Flame Grilled Chicken, 📷, Tầng 4 Crescent Mall, Quận 7",62,2,0,0,0,0,0,1,40,40,64,,,https://scontent.fhan5-4.fna.fbcdn.net/v/t1.0-9/115928350_286583382571668_1874512745015503042_o.jpg?_nc_cat=104&_nc_sid=07e735&_nc_ohc=hvUFxD4OHDUAX-m_6E1&_nc_ht=scontent.fhan5-4.fna&oh=d6ab9156b9de14d6772f91e25551e87f&oe=5F4E0790 https://scontent.fhan5-5.fna.fbcdn.net/v/t1.0-9/115774679_286583422571664_2857904803686713109_o.jpg?_nc_cat=108&_nc_sid=07e735&_nc_ohc=CpgLgcuh64wAX-WHi_v&_nc_ht=scontent.fhan5-5.fna&oh=52c406fe0283defdaf71235300bed706&oe=5F4E1F73 https://scontent.fhan5-1.fna.fbcdn.net/v/t1.0-9/115987632_286583509238322_4938351683499768147_o.jpg?_nc_cat=109&_nc_sid=07e735&_nc_ohc=6R0BSWggXP8AX-UJdib&_nc_ht=scontent.fhan5-1.fna&oh=93a5d9c8835d502da58c6a5aad0c1a96&oe=5F4D6016 https://scontent.fhan5-4.fna.fbcdn.net/v/t1.0-9/116207170_286583589238314_5177274278453962990_o.jpg?_nc_cat=104&_nc_sid=07e735&_nc_ohc=-XSzLWh_4l8AX-Owi-S&_nc_ht=scontent.fhan5-4.fna&oh=5ffa1087377a1e7a14797d68a1ae1d46&oe=5F4D0FBA https://scontent.fhan5-2.fna.fbcdn.net/v/t1.0-9/115822093_286583465904993_2268934807854142878_o.jpg?_nc_cat=102&_nc_sid=07e735&_nc_ohc=B47AoMhNFDEAX_9-pSS&_nc_ht=scontent.fhan5-2.fna&oh=d88e035cd951602820117c4f13154a5b&oe=5F4B94CB," món ăn, món ăn, mọi người đang ngồi và trong nhà, món ăn",FACEBOOK,SOCIAL_NETWORK,100036600258607
170785923686792,495734347858613,ZmVlZGJhY2s6NDk1NzM0MzQ3ODU4NjEz,https://www.facebook.com/groups/170785923686792/permalink/495734347858613,2019-07-27,2020-08-03,2020-08-03,"Ở đây có ai hay nấu đồ ăn cho ng yêu đem đi làm không nhỉ?,  Ngày bận đi học vs đi làm thì ko nấu được chứ ngày nghỉ mình hay tranh thủ nấu cho ng yêu vì cô ấy rất biếng ăn , 😁",902,50,0,45,19,9,3,17,204,204,1028,,,https://scontent.fhan5-7.fna.fbcdn.net/v/t1.0-9/67557890_912933975732463_6891447516613574656_o.jpg?_nc_cat=100&_nc_sid=ca434c&_nc_ohc=ZyZQ4soszRAAX_WsCyO&_nc_ht=scontent.fhan5-7.fna&oh=07109dbfa9aa09628b6ba662c9c8f57a&oe=5F4BD5D8,,FACEBOOK,SOCIAL_NETWORK,100010476078980
170785923686792,748944185870960,ZmVlZGJhY2s6NzQ4OTQ0MTg1ODcwOTYw,https://www.facebook.com/groups/170785923686792/permalink/748944185870960,2020-07-27,2020-08-03,2020-08-03,Em có thích ăn rau dền không,325,4,0,14,1,0,0,0,46,46,344,,,https://scontent.fhan5-5.fna.fbcdn.net/v/t1.0-9/116198679_2631782900394455_5007996915793188022_o.jpg?_nc_cat=101&_nc_sid=ca434c&_nc_ohc=_cTGQ6v1OYEAX8ZsJNE&_nc_ht=scontent.fhan5-5.fna&oh=56bf42d5f913f25d46a0f64357584bf9&oe=5F4D9615,,FACEBOOK,SOCIAL_NETWORK,100006883119692
170785923686792,746132652818780,ZmVlZGJhY2s6NzQ2MTMyNjUyODE4Nzgw,https://www.facebook.com/groups/170785923686792/permalink/746132652818780,2020-07-22,2020-08-03,2020-08-03,"GREYHOUND CAFE - NHÀ HÀNG THÁI FUSION, Hôm nay tự dưng mình thèm ăn đồ Thái thì nhỏ bạn rủ đi Greyhound Cafe đi, mình nghe tên lạ quá hỏi ra thì nó nói quán đó là quán của Thái mới về Sài Gòn, năm ngoái đi Thái nó ăn thấy ngon nên giờ thử ở Việt Nam xem sao., Tới nơi, nhìn không gian tổng thể của nhà hàng thì mình thấy không quá rộng nhưng vẫn có thể dành cho nhóm đông người tụ tập gia đình hoặc bạn bè, nhìn chung cũng ấm cúng., Ngồi một lúc thì các bạn nhân viên phục vụ cho mình và nhỏ bạn mỗi đứa một phần bánh mì tròn và bơ để ăn khai vị. Xem menu nhà hàng thì thấy Greyhound Cafe theo kiểu all-day-dining, menu đa dạng có menu bữa sáng, trưa, tối rồi khai vị, món chính, lẩu, tráng miệng… đủ thứ nên có thể đến ăn buổi nào trong ngày cũng được., Xem một hồi thì thấy nhiều món quá nên mình cũng không biết gọi món nào thế là nhờ một bạn nhân viên tư vấn, bạn ấy rất nhiệt tình và mình đã gọi 4 món:, Lườn cá hồi chiên: món này mình dùng khai vị, rất      giòn và béo cùng 2 vị sốt cũng rất ngon, nhưng nếu ăn nhiều quá dễ bị no      không ăn món chính nhiều được, Cá hồi sống sốt chua cay: Món này mình cũng dùng như      khai vị, lạ ở chỗ nó là sự kết hợp sashimi Nhật và sốt vị Thái và ngon hơn      kỳ vọng, vị cá hồi sống béo cùng sốt chua cay rất đậm đà. Rất đáng để thử., Gà Muay Thái: Gà nướng bên trong có ướp mấy loại gia      vị gì đó mình không rõ nhưng rất hợp khẩu vị với mình, ăn kèm với xôi và gỏi      đu đủ Thái. Tụi mình thì bỏ phần xôi vì sợ đầy bụng , 😢,  Cảm thấy có lỗi , 😢, Spaghetti Tom yum Hải sản: Spaghetti kiểu Ý nhưng sốt      thì là Tom yum của Thái , 😂,  Tôm rất to và được chia làm đôi      nên ăn 2 người share với nhau cũng rất ok. Ăn lạ mà ngon lắm có điều hơi      cay xíu., Ăn đến khi hai đứa đều no căng bụng mà vẫn còn gà nướng nên đành nhờ bạn nhân viên gói phần mang về. Nhìn chung thì mình thấy món nào cũng ngon và trải nghiệm đầu tiên này không làm mình thất vọng, rất đáng để thử đấy. Có điều nhớ gọi ít món chừng bụng thôi nhé, kêu nhiều kẻo như tụi mình không đủ chỗ cho menu tráng miệng đây vì đồ ăn ở đây khá nhiều trong 1 phần , 😭, ., Chắc chắn mình sẽ quay lại đây là thử thêm các món khác trong menu, có thể là đến vào buổi sáng để thử các món breakfast trông khá hấp dẫn rồi mình sẽ review tiếp nhé., -\-\-, ‼️,  Chấm điểm: 9,4/10, Món ăn: 9,5/10, Thái độ phục vụ: 10++/10 (mấy bạn nhân viên cực kỳ dễ thương), Concept quán: 8.5/10 (có vài góc tối), Độ vệ sinh: 10/10, Giá cả: 9/10, -\-\-, 📷,  Địa chỉ: 92 Nam Kỳ Khởi Nghĩa Q1 (góc ngã tư Nam Kỳ Khởi Nghĩa với Huỳnh Thúc Kháng), 📷,  Link Fb quán:,  https://www.facebook.com/GreyhoundCafeVN/",81,2,1,1,1,1,0,1,76,76,87,,,https://scontent.fhan5-7.fna.fbcdn.net/v/t1.0-9/110017245_985592721862509_5915299160462102839_n.jpg?_nc_cat=103&_nc_sid=07e735&_nc_ohc=ryb_k8V82goAX83n0ij&_nc_ht=scontent.fhan5-7.fna&oh=da3e254935bb18fdb4963bbff63a233d&oe=5F4BC016 https://scontent.fhan5-5.fna.fbcdn.net/v/t1.0-9/109921131_985592718529176_4112707383266389281_n.jpg?_nc_cat=108&_nc_sid=07e735&_nc_ohc=Kq8ljiT8uTAAX94BI3F&_nc_ht=scontent.fhan5-5.fna&oh=09685a9f56cd482fe80ab882a1cb403d&oe=5F4F0EC8 https://scontent.fhan5-7.fna.fbcdn.net/v/t1.0-9/108417022_985592768529171_8147025694146663994_n.jpg?_nc_cat=100&_nc_sid=07e735&_nc_ohc=Mo7jZUNy2x0AX8ADogf&_nc_ht=scontent.fhan5-7.fna&oh=0d5eb2b4372d53f3cfaae742d38d2ee1&oe=5F4DE82B https://scontent.fhan5-6.fna.fbcdn.net/v/t1.0-9/109461033_985592705195844_3053834882501219906_n.jpg?_nc_cat=107&_nc_sid=07e735&_nc_ohc=_yRH7AITRvYAX9grK4V&_nc_ht=scontent.fhan5-6.fna&oh=5459a2776ebfc389ec901865f46756d9&oe=5F4D2D31," món ăn, món ăn, mọi người đang ngồi, bàn, món ăn và trong nhà",FACEBOOK,SOCIAL_NETWORK,100012353705916
170785923686792,747671392664906,ZmVlZGJhY2s6NzQ3NjcxMzkyNjY0OTA2,https://www.facebook.com/groups/170785923686792/permalink/747671392664906,2020-07-25,2020-08-03,2020-08-03,"Nhớ ngày trước, cứ tầm 23h45, tôi & người ấy hay mò đi ăn phở đêm. Nhưng cứ phải lượn quanh hàng phở tầm 15-20' nữa thì mới bắt đầu vào ăn...đến giờ, tôi cũng vẫn lượn lờ như vậy, vẫn đợi qua 12h mới ăn, nhưng chỉ còn là 1 mình.,  , #, monkey_review",110,1,0,1,0,4,0,0,25,25,116,,monkey_review,https://scontent.fhan5-7.fna.fbcdn.net/v/t1.0-9/109782431_595294038080640_2858484849485837253_o.jpg?_nc_cat=103&_nc_sid=ca434c&_nc_ohc=GS9szk5jMysAX9Jli9P&_nc_ht=scontent.fhan5-7.fna&oh=c6e79dbeaca10e954c973c830cbd8c23&oe=5F4B78BB,,FACEBOOK,SOCIAL_NETWORK,100028001472331
170785923686792,744781899620522,ZmVlZGJhY2s6NzQ0NzgxODk5NjIwNTIy,https://www.facebook.com/groups/170785923686792/permalink/744781899620522,2020-07-21,2020-08-03,2020-08-03,"Quá trình làm 1 mẻ chả giò k khó. Hãy làm theo như ảnh và sách dạy nấu ăn , =), )",121,3,0,2,0,0,0,0,22,22,126,,,https://scontent.fhan5-4.fna.fbcdn.net/v/t1.0-9/109973801_1614812002029624_6689114799836356900_o.jpg?_nc_cat=104&_nc_sid=07e735&_nc_ohc=bhDp__VW__YAX_HzQJ2&_nc_ht=scontent.fhan5-4.fna&oh=abb18f8ea05b7486ed0b2f82e27d2576&oe=5F4C83E2 https://scontent.fhan5-1.fna.fbcdn.net/v/t1.0-9/110314684_1614812505362907_7215211760405156727_o.jpg?_nc_cat=109&_nc_sid=07e735&_nc_ohc=mZF4qtdrGg0AX8tMu82&_nc_ht=scontent.fhan5-1.fna&oh=668c6235d1a7bec509a439ff1bcfa3cb&oe=5F4F3474 https://scontent.fhan5-1.fna.fbcdn.net/v/t1.0-9/108727364_1614813325362825_7844687633155890874_o.jpg?_nc_cat=109&_nc_sid=07e735&_nc_ohc=7PyM-\-\-NvxEAX_px2zK&_nc_ht=scontent.fhan5-1.fna&oh=e26f709a67ca6bbbe283c7c148a08d1e&oe=5F4C6406 https://scontent.fhan5-1.fna.fbcdn.net/v/t1.0-9/109932392_1614813482029476_1522657307757071588_o.jpg?_nc_cat=109&_nc_sid=07e735&_nc_ohc=Sg8aOQHzgZwAX_GNOUU&_nc_ht=scontent.fhan5-1.fna&oh=508d1eac984325dcc731f3b44fff0a50&oe=5F4CE605 https://scontent.fhan5-1.fna.fbcdn.net/v/t1.0-9/110321713_1614813972029427_6828465799473188857_o.jpg?_nc_cat=109&_nc_sid=07e735&_nc_ohc=sQA3jciznucAX8-Dte3&_nc_ht=scontent.fhan5-1.fna&oh=71b14ef2e2e83987617262ad2a3db60e&oe=5F4CE689," món ăn, món ăn, món ăn, món ăn",FACEBOOK,SOCIAL_NETWORK,100005025181615
