group_id,post_id,link_post,public_time_post,first_collect_time_post,lastest_collect_time_post,content_text_post,number_like_post,number_love_post,number_support_post,number_haha_post,number_wow_post,number_sorry_post,number_anger_post,number_share_post,number_cmt_post,number_reaction_post,place_post,hastag_post,image_link_post,image_content_post,source_crawl_post,type_source_post,user_post
649027869251783,735887730565796,https://www.facebook.com/groups/649027869251783/permalink/735887730565796,2020-07-29,2020-07-30,2020-07-30,"Lâu lắm chưa thấy ai rủ đi uống trà sữa í , 🥺",48,8,1,0,1,0,0,9,12,58,,,https://scontent.fdac18-1.fna.fbcdn.net/v/t1.0-9/115343044_344371493619000_8579406356327388284_n.jpg?_nc_cat=102&_nc_sid=07e735&_nc_ohc=l39mkgDwC-gAX9cLNwI&_nc_ht=scontent.fdac18-1.fna&oh=5c0cef6149ce22f84de9aea16be48b9e&oe=5F46C29B https://scontent.fdac18-1.fna.fbcdn.net/v/t1.0-9/113034635_344371593618990_6874905295646560546_n.jpg?_nc_cat=100&_nc_sid=07e735&_nc_ohc=MjtRJS_LzWsAX-xGuwo&_nc_ht=scontent.fdac18-1.fna&oh=6299e0c809e208813694c85ea253b577&oe=5F4959B3 https://scontent.fdac18-1.fna.fbcdn.net/v/t1.0-9/116344594_344371543618995_8195490093523896876_n.jpg?_nc_cat=106&_nc_sid=07e735&_nc_ohc=D3FFsfJzqMUAX-LREtP&_nc_ht=scontent.fdac18-1.fna&oh=5a8083db274911960ebe6cc192707a93&oe=5F49383A https://scontent.fdac18-1.fna.fbcdn.net/v/t1.0-9/113704549_344371646952318_3944663958406260616_n.jpg?_nc_cat=102&_nc_sid=07e735&_nc_ohc=fBJf0Rfq7OwAX_qC3cZ&_nc_ht=scontent.fdac18-1.fna&oh=2d113a6dd822666b30d33b822a8abb86&oe=5F49C7E5 https://scontent.fdac18-1.fna.fbcdn.net/v/t1.0-9/115848886_344371726952310_7363798127046548960_n.jpg?_nc_cat=105&_nc_sid=07e735&_nc_ohc=q6ARPhKFyJkAX_5klS2&_nc_ht=scontent.fdac18-1.fna&oh=73e0f5e54ae9f86eb8cdcf31096a2302&oe=5F47E74B," drink and food, drink, food, ‎drink, ‎ ""‎Sd Chatime shaking tea up 8ن‎""‎‎",FACEBOOK,SOCIAL_NETWORK,100041384556510
684586655073166,1522142771317546,https://www.facebook.com/groups/684586655073166/permalink/1522142771317546,2020-07-27,2020-07-30,2020-07-30,"mng cho mình xin review vài quán lẩu ngon ở nb với ạ.mình cảm ơn , 😍, 😍, 😍",62,0,0,0,0,0,0,0,46,62,,,https://scontent.fcgk23-1.fna.fbcdn.net/v/t1.0-9/116355028_2764053957032950_1361388331808522001_n.jpg?_nc_cat=107&_nc_sid=ca434c&_nc_ohc=wUV7zmVmALAAX_1xnuj&_nc_ht=scontent.fcgk23-1.fna&oh=ce3b908a8f86603a1cc5bdd17685f077&oe=5F477DBD,,FACEBOOK,SOCIAL_NETWORK,100002851190354
649027869251783,734990070655562,https://www.facebook.com/groups/649027869251783/permalink/734990070655562,2020-07-28,2020-07-30,2020-07-30,"Bánh tráng ngon xỉuuuu , 😍, 😍, 😍",98,3,0,0,1,2,0,8,26,104,,,https://scontent-cdg2-1.xx.fbcdn.net/v/t1.0-9/110313196_343294970393319_4854960383563217566_n.jpg?_nc_cat=100&_nc_sid=07e735&_nc_ohc=Kwcg0plrifAAX-RSPA-&_nc_ht=scontent-cdg2-1.xx&oh=8c89e5e123ef648d710728122fa54da7&oe=5F4A5A94 https://scontent-cdg2-1.xx.fbcdn.net/v/t1.0-9/110615395_343294983726651_6651953765576540111_n.jpg?_nc_cat=107&_nc_sid=07e735&_nc_ohc=TLfzKLJdVCkAX8utojz&_nc_ht=scontent-cdg2-1.xx&oh=9972594d1830108bdc28fe6b8ade84fa&oe=5F48BA7B https://scontent-cdg2-1.xx.fbcdn.net/v/t1.0-9/116230908_343295003726649_2336066200627924495_n.jpg?_nc_cat=108&_nc_sid=07e735&_nc_ohc=56vKax3-\-\WgAX__VlZy&_nc_ht=scontent-cdg2-1.xx&oh=3e1b1b4058dcfe3244154b1bf369b2a9&oe=5F4A4411 https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/109846901_343295047059978_1269413232128937402_n.jpg?_nc_cat=109&_nc_sid=07e735&_nc_ohc=mkIy5y8cZMUAX_Yo-\-\z&_nc_oc=AQl0TVjtJMYJYM4IizbRNpRFXTO22yiW7NklEbOz7VE6h4cae2ehs6YcazbmmTUcYck&_nc_ht=scontent-cdt1-1.xx&oh=ddf81b446113da2a4a5a6a2cbb2351e2&oe=5F46B816 https://scontent-cdg2-1.xx.fbcdn.net/v/t1.0-9/116212068_343295087059974_6043513023958466335_n.jpg?_nc_cat=108&_nc_sid=07e735&_nc_ohc=MzzqQ4NbmI4AX8EUgAm&_nc_ht=scontent-cdg2-1.xx&oh=b33f4d7ae90c5825709fb93ee237fca2&oe=5F4742F5," food, food, food, food and indoor",FACEBOOK,SOCIAL_NETWORK,100041384556510
237621793368816,1010646536066334,https://www.facebook.com/groups/237621793368816/permalink/1010646536066334,2020-07-30,2020-07-30,2020-07-30,"Ai còn khẩu trang y tế 4 lớp k, Ai còn khẩu trang y tế 4 lớp k",11,0,0,0,0,0,0,0,45,11,,,,,FACEBOOK,SOCIAL_NETWORK,100031123510011
237621793368816,1011118512685803,https://www.facebook.com/groups/237621793368816/permalink/1011118512685803,2020-07-30,2020-07-30,2020-07-30,ai có kim chi . đồ ăn đồ uống gì ko ạ,13,1,0,1,0,0,0,0,75,15,,,,,FACEBOOK,SOCIAL_NETWORK,100030106344314
711225992560661,1210891562594099,https://www.facebook.com/groups/711225992560661/permalink/1210891562594099,2020-07-25,2020-07-30,2020-07-30,"Bánh đúc lạc ,  50k/chục kèm tương chấm",5,0,0,0,0,0,0,0,32,5,,,https://scontent-lax3-2.xx.fbcdn.net/v/t1.0-9/110161994_727784014721915_1371565022936189040_o.jpg?_nc_cat=111&_nc_sid=07e735&_nc_ohc=qvaw2SPgmMQAX8_Nj-I&_nc_ht=scontent-lax3-2.xx&oh=a05150b7298b5bcc338235a0f616ce0c&oe=5F4A4742 https://scontent-lax3-2.xx.fbcdn.net/v/t1.0-9/109508902_727784051388578_2431512343879292998_o.jpg?_nc_cat=106&_nc_sid=07e735&_nc_ohc=4zmxM9b6_OoAX-sJNwU&_nc_ht=scontent-lax3-2.xx&oh=4662d11cf00c0e007bed309cfb5f3075&oe=5F4A1417, food and indoor,FACEBOOK,SOCIAL_NETWORK,100024709688330
649027869251783,734990680655501,https://www.facebook.com/groups/649027869251783/permalink/734990680655501,2020-07-28,2020-07-30,2020-07-30,Full công thức chi tiết làm các loại trà sữa.,23,1,0,0,0,0,0,72,2,24,,,https://scontent.fguz2-1.fna.fbcdn.net/v/t1.0-9/110318225_343295553726594_3765165193766737267_n.jpg?_nc_cat=100&_nc_sid=07e735&_nc_ohc=rq6U_qEp0poAX-q8LcD&_nc_ht=scontent.fguz2-1.fna&oh=e73622b5ecbbe1ce6bb805be1d9a4078&oe=5F487921 https://scontent.fguz2-1.fna.fbcdn.net/v/t1.0-9/116519337_343295590393257_3299901182101076990_n.jpg?_nc_cat=105&_nc_sid=07e735&_nc_ohc=OH7W35aykB4AX-xrDBv&_nc_ht=scontent.fguz2-1.fna&oh=fdf3c21acc0554cb054fc490389b1207&oe=5F47B860 https://scontent.fguz2-1.fna.fbcdn.net/v/t1.0-9/113292471_343295630393253_1515497440026304495_n.jpg?_nc_cat=109&_nc_sid=07e735&_nc_ohc=jSRuw_X7jkEAX812Oyy&_nc_ht=scontent.fguz2-1.fna&oh=5c2e80b2c7524b7c94d071df724b4794&oe=5F4701E9 https://scontent.fguz2-1.fna.fbcdn.net/v/t1.0-9/109769338_343295643726585_3202206321379914028_n.jpg?_nc_cat=107&_nc_sid=07e735&_nc_ohc=Yvxbaew4e1sAX_IGo_a&_nc_ht=scontent.fguz2-1.fna&oh=ecac9d637eb63681a7316ca57a40a761&oe=5F492D1C https://scontent.fguz2-1.fna.fbcdn.net/v/t1.0-9/116348070_343295693726580_1507813953767663739_n.jpg?_nc_cat=104&_nc_sid=07e735&_nc_ohc=YjXbsGLxiLYAX-00ffl&_nc_ht=scontent.fguz2-1.fna&oh=f1de57d0e929c98d7d1064b4c6fd0fcc&oe=5F48D9CD,"., fruit, ., food",FACEBOOK,SOCIAL_NETWORK,100041384556510
237621793368816,1010429419421379,https://www.facebook.com/groups/237621793368816/permalink/1010429419421379,2020-07-29,2020-07-30,2020-07-30,Ai lây ko sỉ ib nhé? Mai về 100 thùng,3,0,0,0,0,0,0,0,22,3,,,https://scontent.fpnh4-1.fna.fbcdn.net/v/t1.0-9/115928363_1446213078897115_2150030655845611115_o.jpg?_nc_cat=104&_nc_sid=ca434c&_nc_ohc=fdqFfBQiTmAAX8qN0IT&_nc_ht=scontent.fpnh4-1.fna&oh=1250f78a9ee5c65f4fd76a2c9e38c9bf&oe=5F482646,,FACEBOOK,SOCIAL_NETWORK,100005253097197
684586655073166,1520306481501175,https://www.facebook.com/groups/684586655073166/permalink/1520306481501175,2020-07-25,2020-07-30,2020-07-30,"- Bạn nào đi Resort. Homstay ở nb rồi cho mình xin đc với ạ nhiều quá k biết cái nào dịch vụ ok với cả view đẹp ạ, ❤️,  Many thanks, - Bạn nào đi Resort. Homstay ở nb rồi cho mình xin đc với ạ nhiều quá k biết cái nào dịch vụ ok với cả view đẹp ạ, ❤️,  Many thanks",61,0,1,0,0,0,0,0,26,62,,,,,FACEBOOK,SOCIAL_NETWORK,100004912682331
711225992560661,1213177832365472,https://www.facebook.com/groups/711225992560661/permalink/1213177832365472,2020-07-28,2020-07-30,2020-07-30,"Ngày cuối tuần tưởng không đông mà đông không tưởng , 😂, 😂, . Toàn đơn đặt cho cả một nhà ăn dã man quớ. Menu nhà em ăn sáng, ăn trưa, ăn tối đều ok la nên mọi người cứ nổ đơn nhiệt tình giúp em ạ. BÚN TRỘN THỊT NƯỚNG - PHỞ CUỐN TÔM THỊT - BÁNH MÌ - XÔI - CHÈ nhà em có thiếu gì đâu , :), )) cứ gọi số hotline 0981645673 là em ship ạ.",5,0,0,0,0,0,0,0,2,5,,,https://z-p3-scontent.fpnh18-3.fna.fbcdn.net/v/t1.0-9/109313085_150349723341403_5421382188691671627_o.jpg?_nc_cat=104&_nc_sid=110474&_nc_ohc=jDmMReASwngAX-t77Dr&_nc_ht=z-p3-scontent.fpnh18-3.fna&oh=237a8b6605c1cf2ca13ac74c84b61b34&oe=5F4972EE https://z-p3-scontent.fpnh18-3.fna.fbcdn.net/v/t1.0-9/116353148_150349753341400_4491281431639148581_n.jpg?_nc_cat=102&_nc_sid=110474&_nc_ohc=np9BFE0MoqQAX_ejO-A&_nc_ht=z-p3-scontent.fpnh18-3.fna&oh=58cb129e3b85544d5ab2317505d4f097&oe=5F47BD02 https://z-p3-scontent.fpnh18-3.fna.fbcdn.net/v/t1.0-9/110136364_150349773341398_6360569583578536894_n.jpg?_nc_cat=102&_nc_sid=110474&_nc_ohc=KBnHGuFdklYAX_Upnb-&_nc_ht=z-p3-scontent.fpnh18-3.fna&oh=1d8d76410fe8cff06f3114922d8a207f&oe=5F471054 https://z-p3-scontent.fpnh18-3.fna.fbcdn.net/v/t1.0-9/110206566_150349796674729_4703555894176229013_n.jpg?_nc_cat=110&_nc_sid=110474&_nc_ohc=go3P-B2-b5QAX-QGoa3&_nc_ht=z-p3-scontent.fpnh18-3.fna&oh=e789d320d10012dc55c46beaa862dbc6&oe=5F49FB41 https://z-p3-scontent.fpnh18-3.fna.fbcdn.net/v/t1.0-9/116289235_150349823341393_1868484997429649654_o.jpg?_nc_cat=104&_nc_sid=110474&_nc_ohc=HyIzTDpdldEAX_bz9X6&_nc_ht=z-p3-scontent.fpnh18-3.fna&oh=1b71281deb5996c3d1fc074a38447b14&oe=5F46899A," food, food, food, food, ",FACEBOOK,SOCIAL_NETWORK,100050991273768
