group_id,post_id,link_post,public_time_post,first_collect_time_post,lastest_collect_time_post,content_text_post,number_like_post,number_love_post,number_support_post,number_haha_post,number_wow_post,number_sorry_post,number_anger_post,number_share_post,number_cmt_post,number_reaction_post,place_post,hastag_post,image_link_post,image_content_post,source_crawl_post,type_source_post,user_post
170785923686792,746132652818780,https://www.facebook.com/groups/170785923686792/permalink/746132652818780,2020-07-22,2020-07-31,2020-07-31,"GREYHOUND CAFE - NHÀ HÀNG THÁI FUSION, Hôm nay tự dưng mình thèm ăn đồ Thái thì nhỏ bạn rủ đi Greyhound Cafe đi, mình nghe tên lạ quá hỏi ra thì nó nói quán đó là quán của Thái mới về Sài Gòn, năm ngoái đi Thái nó ăn thấy ngon nên giờ thử ở Việt Nam xem sao., Tới nơi, nhìn không gian tổng thể của nhà hàng thì mình thấy không quá rộng nhưng vẫn có thể dành cho nhóm đông người tụ tập gia đình hoặc bạn bè, nhìn chung cũng ấm cúng., Ngồi một lúc thì các bạn nhân viên phục vụ cho mình và nhỏ bạn mỗi đứa một phần bánh mì tròn và bơ để ăn khai vị. Xem menu nhà hàng thì thấy Greyhound Cafe theo kiểu all-day-dining, menu đa dạng có menu bữa sáng, trưa, tối rồi khai vị, món chính, lẩu, tráng miệng… đủ thứ nên có thể đến ăn buổi nào trong ngày cũng được., Xem một hồi thì thấy nhiều món quá nên mình cũng không biết gọi món nào thế là nhờ một bạn nhân viên tư vấn, bạn ấy rất nhiệt tình và mình đã gọi 4 món:, Lườn cá hồi chiên: món này mình dùng khai vị, rất      giòn và béo cùng 2 vị sốt cũng rất ngon, nhưng nếu ăn nhiều quá dễ bị no      không ăn món chính nhiều được, Cá hồi sống sốt chua cay: Món này mình cũng dùng như      khai vị, lạ ở chỗ nó là sự kết hợp sashimi Nhật và sốt vị Thái và ngon hơn      kỳ vọng, vị cá hồi sống béo cùng sốt chua cay rất đậm đà. Rất đáng để thử., Gà Muay Thái: Gà nướng bên trong có ướp mấy loại gia      vị gì đó mình không rõ nhưng rất hợp khẩu vị với mình, ăn kèm với xôi và gỏi      đu đủ Thái. Tụi mình thì bỏ phần xôi vì sợ đầy bụng , 😢,  Cảm thấy có lỗi , 😢, Spaghetti Tom yum Hải sản: Spaghetti kiểu Ý nhưng sốt      thì là Tom yum của Thái , 😂,  Tôm rất to và được chia làm đôi      nên ăn 2 người share với nhau cũng rất ok. Ăn lạ mà ngon lắm có điều hơi      cay xíu., Ăn đến khi hai đứa đều no căng bụng mà vẫn còn gà nướng nên đành nhờ bạn nhân viên gói phần mang về. Nhìn chung thì mình thấy món nào cũng ngon và trải nghiệm đầu tiên này không làm mình thất vọng, rất đáng để thử đấy. Có điều nhớ gọi ít món chừng bụng thôi nhé, kêu nhiều kẻo như tụi mình không đủ chỗ cho menu tráng miệng đây vì đồ ăn ở đây khá nhiều trong 1 phần , 😭, ., Chắc chắn mình sẽ quay lại đây là thử thêm các món khác trong menu, có thể là đến vào buổi sáng để thử các món breakfast trông khá hấp dẫn rồi mình sẽ review tiếp nhé., -\-\-, ‼️,  Chấm điểm: 9,4/10, Món ăn: 9,5/10, Thái độ phục vụ: 10++/10 (mấy bạn nhân viên cực kỳ dễ thương), Concept quán: 8.5/10 (có vài góc tối), Độ vệ sinh: 10/10, Giá cả: 9/10, -\-\-, 📷,  Địa chỉ: 92 Nam Kỳ Khởi Nghĩa Q1 (góc ngã tư Nam Kỳ Khởi Nghĩa với Huỳnh Thúc Kháng), 📷,  Link Fb quán:,  https://www.facebook.com/GreyhoundCafeVN/",80,2,1,1,1,1,0,1,76,86,,,https://scontent-ams4-1.xx.fbcdn.net/v/t1.0-9/110017245_985592721862509_5915299160462102839_n.jpg?_nc_cat=103&_nc_sid=07e735&_nc_ohc=JmQCuWTDIHAAX8rFP4k&_nc_ht=scontent-ams4-1.xx&oh=dc8029222cbd1fcf1db3ffb38c7ded72&oe=5F47CB96 https://scontent-ams4-1.xx.fbcdn.net/v/t1.0-9/109921131_985592718529176_4112707383266389281_n.jpg?_nc_cat=108&_nc_sid=07e735&_nc_ohc=0jGg1iCYKRQAX9T6hiH&_nc_ht=scontent-ams4-1.xx&oh=31d0b7fa11ffe359eceafa462c12744a&oe=5F4B1A48 https://scontent-ams4-1.xx.fbcdn.net/v/t1.0-9/108417022_985592768529171_8147025694146663994_n.jpg?_nc_cat=100&_nc_sid=07e735&_nc_ohc=Ax2wdAjwJ44AX8nZHXr&_nc_ht=scontent-ams4-1.xx&oh=383cb6d2371318db6e2d4acfd83625e6&oe=5F49F3AB https://scontent-ams4-1.xx.fbcdn.net/v/t1.0-9/109461033_985592705195844_3053834882501219906_n.jpg?_nc_cat=107&_nc_sid=07e735&_nc_ohc=bfeBLUZ9TIsAX-K3-Di&_nc_ht=scontent-ams4-1.xx&oh=37f3ca910c26a0467d7f2749c38eb7c7&oe=5F4938B1," food, food, people sitting, table, food and indoor",FACEBOOK,SOCIAL_NETWORK,100012353705916
170785923686792,750233585742020,https://www.facebook.com/groups/170785923686792/permalink/750233585742020,2020-07-28,2020-07-31,2020-07-31,"Gà nướng lửa hồng cùng 8 loại sốt ngon vô địch thiên hạ , =), ), Gà ở đây giá hơi cao nhưng chất lượng mang lại thiệt sự là rất oke luôn. Bạn mình dẫn mình đi nên mới biết, ăn xong cái bị nghiện đòi nó dẫn đi ăn quài , 📷, - Như thường lệ mình order Combo gà nguyên con kèm với 4 side dishes là bắp, salad, bánh mì nướng và khoai tây chiên, giá combo là 430k nha, ai mua lẻ gà thì giá là 330k. Bọn mình chọn gà nướng không có sốt để ăn, gà được nướng lửa hồng nên thịt thơm nóng hổi từ bên trong luôn. Lớp da bên ngoài có độ giòn nhẹ ăn rất bắt vị. Ở đây có tới 8 loại sốt như sốt Chickita, sốt tiêu đen, sốt xoài, sốt muối ớt xanh, sốt chanh dây,.... nhưng mình thích nhất và cũng highly recommend là mọi người nên thử sốt xí muội chua chua Sweet Baby nha, chấm vào thấm vị ăn đã lắm. , 📷, - Ngoài gà nướng ra thì mình còn order thêm 2 phần tacos gà 90k và tacos tôm 95k. Bất ngờ là 2 miếng tacos nhỏ được đặt trong cái dĩa bự chảng , 📷, - Thêm món “guộc” doritos crumble chân ái (mình quên giá rồi). Giống như snack quết lớp sốt phô mai vậy đó, ngon lắm , 📷, Không gian kiểu sang trọng với mấy ánh đèn neon khá đẹp, sống ảo được ngàn like luôn nha kaka , 📷, Chickita - Flame Grilled Chicken, 📷, Tầng 4 Crescent Mall, Quận 7",56,2,0,0,0,0,0,1,40,58,,,https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-9/115928350_286583382571668_1874512745015503042_o.jpg?_nc_cat=104&_nc_sid=07e735&_nc_ohc=dRCxM-MG1rQAX-pf7eA&_nc_ht=scontent-lga3-1.xx&oh=c089f778e2d1d10b431773ff5375537e&oe=5F4A1310 https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-9/115774679_286583422571664_2857904803686713109_o.jpg?_nc_cat=108&_nc_sid=07e735&_nc_ohc=EDCofVam8uQAX9Bb7KA&_nc_ht=scontent-lga3-1.xx&oh=219f49d95a10af2b0865b39d7d5bf100&oe=5F4A2AF3 https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-9/115987632_286583509238322_4938351683499768147_o.jpg?_nc_cat=109&_nc_sid=07e735&_nc_ohc=L45ZTSt271gAX9B-Tv6&_nc_ht=scontent-lga3-1.xx&oh=e6cc90123b449ef329a9d7def517b244&oe=5F496B96 https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-9/116207170_286583589238314_5177274278453962990_o.jpg?_nc_cat=104&_nc_sid=07e735&_nc_ohc=pdUve0Y8YGIAX-mTHJ9&_nc_ht=scontent-lga3-1.xx&oh=43e9b40cf1f2c83b4f4bc3b77f96ce8f&oe=5F491B3A https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-9/115822093_286583465904993_2268934807854142878_o.jpg?_nc_cat=102&_nc_sid=07e735&_nc_ohc=sxPj5uJRidgAX8gQTsq&_nc_ht=scontent-lga3-1.xx&oh=cb3afc2aadce6d8707b29186ba7fc691&oe=5F47A04B," food, food, people sitting and indoor, food",FACEBOOK,SOCIAL_NETWORK,100036600258607
170785923686792,748944185870960,https://www.facebook.com/groups/170785923686792/permalink/748944185870960,2020-07-27,2020-07-31,2020-07-31,Em có thích ăn rau dền không,323,4,0,14,1,0,0,0,46,342,,,https://scontent-amt2-1.xx.fbcdn.net/v/t1.0-9/116198679_2631782900394455_5007996915793188022_o.jpg?_nc_cat=101&_nc_sid=ca434c&_nc_ohc=0f0HOp8bZz0AX-DR8XC&_nc_ht=scontent-amt2-1.xx&oh=ed093ffef85793b1459c1253abb8db35&oe=5F49A195,,FACEBOOK,SOCIAL_NETWORK,100006883119692
170785923686792,747671392664906,https://www.facebook.com/groups/170785923686792/permalink/747671392664906,2020-07-25,2020-07-31,2020-07-31,"Nhớ ngày trước, cứ tầm 23h45, tôi & người ấy hay mò đi ăn phở đêm. Nhưng cứ phải lượn quanh hàng phở tầm 15-20' nữa thì mới bắt đầu vào ăn...đến giờ, tôi cũng vẫn lượn lờ như vậy, vẫn đợi qua 12h mới ăn, nhưng chỉ còn là 1 mình.,  , #, monkey_review",109,1,0,1,0,4,0,0,25,115,,monkey_review,https://scontent-bos3-1.xx.fbcdn.net/v/t1.0-9/109782431_595294038080640_2858484849485837253_o.jpg?_nc_cat=103&_nc_sid=ca434c&_nc_ohc=wIABW3unBAMAX9f-aUM&_nc_ht=scontent-bos3-1.xx&oh=4ffd5b06471e994551430b08655c40c4&oe=5F47843B,,FACEBOOK,SOCIAL_NETWORK,100028001472331
170785923686792,744781899620522,https://www.facebook.com/groups/170785923686792/permalink/744781899620522,2020-07-21,2020-07-31,2020-07-31,"Quá trình làm 1 mẻ chả giò k khó. Hãy làm theo như ảnh và sách dạy nấu ăn , =), )",121,3,0,2,0,0,0,0,22,126,,,https://scontent-ams4-1.xx.fbcdn.net/v/t1.0-9/109973801_1614812002029624_6689114799836356900_o.jpg?_nc_cat=104&_nc_sid=07e735&_nc_ohc=_BZpLG1XMAMAX8vw3eL&_nc_ht=scontent-ams4-1.xx&oh=440043c54d31b38a0916fb587c034379&oe=5F488F62 https://scontent-amt2-1.xx.fbcdn.net/v/t1.0-9/110314684_1614812505362907_7215211760405156727_o.jpg?_nc_cat=109&_nc_sid=07e735&_nc_ohc=sCA5cwQi66oAX_nOs68&_nc_ht=scontent-amt2-1.xx&oh=2b4d1bf90fbc5bee32837218bf121247&oe=5F474B74 https://scontent-amt2-1.xx.fbcdn.net/v/t1.0-9/108727364_1614813325362825_7844687633155890874_o.jpg?_nc_cat=109&_nc_sid=07e735&_nc_ohc=G1ITsDzyUBsAX8BNg8b&_nc_ht=scontent-amt2-1.xx&oh=c3e2ae5845611e0d4a7a91a44293e68e&oe=5F486F86 https://scontent-amt2-1.xx.fbcdn.net/v/t1.0-9/109932392_1614813482029476_1522657307757071588_o.jpg?_nc_cat=109&_nc_sid=07e735&_nc_ohc=KC-ox9C5wdsAX8xGEQr&_nc_ht=scontent-amt2-1.xx&oh=61a95ff8946c392caa241a1ee33e0326&oe=5F48F185 https://scontent-amt2-1.xx.fbcdn.net/v/t1.0-9/110321713_1614813972029427_6828465799473188857_o.jpg?_nc_cat=109&_nc_sid=07e735&_nc_ohc=H41Vn4fiV4gAX-LRUxe&_nc_ht=scontent-amt2-1.xx&oh=046a3668744e58db50f7f18622e8557a&oe=5F48F209," food, food, food, food",FACEBOOK,SOCIAL_NETWORK,100005025181615
170785923686792,744739392958106,https://www.facebook.com/groups/170785923686792/permalink/744739392958106,2020-07-20,2020-07-31,2020-07-31,"Cất công kho nồi cá ,  Nhưng cuối cùng chỉ thích ăn thịt ,  Có ai giống mình k , 😂",574,14,2,32,0,1,1,2,66,624,,,https://scontent-bos3-1.xx.fbcdn.net/v/t1.0-9/109394852_3144925648924308_4731162874502375747_n.jpg?_nc_cat=104&_nc_sid=ca434c&_nc_ohc=DmAN3Mizlf4AX_DyRte&_nc_ht=scontent-bos3-1.xx&oh=8915b2a38e59ea8d681f6166a2eb01fc&oe=5F491609,,FACEBOOK,SOCIAL_NETWORK,100002207117226
170785923686792,746608176104561,https://www.facebook.com/groups/170785923686792/permalink/746608176104561,2020-07-23,2020-07-31,2020-07-31,"Ngày đầu đi làm k biết. Hung hăng ra ăn suất cơm văn phòng như này hết 200k. , 😞,  ,  Lương được 5 triệu. Nghĩ cay ae à.",412,3,0,100,1,4,0,1,35,520,,,https://scontent-ams4-1.xx.fbcdn.net/v/t1.0-9/110819194_986077425147372_1106950963918673152_n.jpg?_nc_cat=110&_nc_sid=ca434c&_nc_ohc=MBGmMW0RSt4AX-Euks5&_nc_ht=scontent-ams4-1.xx&oh=a1518e6531aecbc11ae8c9206ea627ac&oe=5F4926EF,,FACEBOOK,SOCIAL_NETWORK,100012353705916
170785923686792,749967942435251,https://www.facebook.com/groups/170785923686792/permalink/749967942435251,2020-07-28,2020-07-31,2020-07-31,"Ở 1 mình vẫn phải đàng hoàng , 😂,  Sv cuối tháng.",333,8,1,4,3,0,0,0,48,349,,,https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-9/109775156_1016816952093628_4124719913234027761_o.jpg?_nc_cat=105&_nc_sid=ca434c&_nc_ohc=8P24NIUiUNAAX8HLUFE&_nc_ht=scontent-lga3-1.xx&oh=342d165eab43b23ef5c7e24c0c3e9be9&oe=5F472781,,FACEBOOK,SOCIAL_NETWORK,100012959983091
170785923686792,737729936992385,https://www.facebook.com/groups/170785923686792/permalink/737729936992385,2020-07-10,2020-07-31,2020-07-31,"#, ReviewDoAnKSB,  , #, DoAnNgon,  Đã là tín đồ của ăn vặt? Đừng quên thử loại bánh này.,  Tên nghe lạ mà thậm chí chắc cũng số ít người được thử loại bánh này, trừ khi có người thân hay bạn bè ở Nam Định biếu làm quà. Nên nay t review luôn về loại bánh này để mọi người,  Giới thiệu qua tiểu sử của ẻm:,  Tên: Xíu Páo , 🥮, 🥮, 🥮,  Quê Quán: ở Việt nhưng gốc Hoa, nay lại là đặc sản Nam Định,  Partner: Sữa đậu nành,  Ngoại hình:,  + Bên Ngoài: Vỏ bánh gồm nhiều lớp xếp lên nhau giống vỏ bánh Pía, phía ngoài đc quét lớp trứng mỏng nên khi nướng lên bánh vừa có màu vàng ươm rất bắt mắt lại vừa có mùi trứng rất thơm luôn. Khi ăn thì mk rất thích “lột trần” từng lớp vỏ của e ấy. Kiểu vừa ăn vừa nghịch ấy, 😂, 😂, 😂,  đã ghê,  + Bên trong: nguyên liệu gần giống bánh bao: thịt xay tiêu, trứng, mộc nhĩ, nấm hương nhưng được nêm hương vị rất đặc trưng nên khi cắn vào thì... ôi thôi, thơm ơi là thơm,  Hướng dẫn sử dụng: Bánh ngon khi ăn nóng, đặc biệt cho vào lò quay, vỏ bánh giòn tan ăn siêu đã luôn, 🤩, 🤩, 🤩, . Nếu k có lò quay thì có thể hấp với nồi cơm cho ấm,  Cách bảo quản: Cho vào ngăn mát tủ lạnh bảo quản được 2-3 ngày, chính vì thế đây là bữa ăn rất tiện lợi khi b chỉ cần lấy bánh ra hấp lại 2-3 p là có một bữa ăn vừa no lại đầy đủ dinh dưỡng rồi.,  Giá 65k/ 10c,  Nguyễn Trãi, Thanh Xuân",257,19,1,3,3,0,0,15,189,283,,ReviewDoAnKSB DoAnNgon,https://scontent-ams4-1.xx.fbcdn.net/v/t1.0-9/107374010_147824616903279_5620818765832776943_n.jpg?_nc_cat=107&_nc_sid=07e735&_nc_ohc=OOTne5cB0lIAX8BqTfp&_nc_ht=scontent-ams4-1.xx&oh=b64de79c7ccf9107bba8a232337c425a&oe=5F473AB5 https://scontent-amt2-1.xx.fbcdn.net/v/t1.0-9/107047289_147824633569944_2108251488122675752_n.jpg?_nc_cat=101&_nc_sid=07e735&_nc_ohc=v3R1e86Zy0AAX95QKmO&_nc_ht=scontent-amt2-1.xx&oh=c1f3035769435311d9663152c0fd927f&oe=5F49DBA5 https://scontent-ams4-1.xx.fbcdn.net/v/t1.0-9/107644173_147824623569945_3964996996449846407_n.jpg?_nc_cat=100&_nc_sid=07e735&_nc_ohc=FyrlzOs4uoUAX_zRw_R&_nc_ht=scontent-ams4-1.xx&oh=627b966d9c0b9817cf89a15c7c957ae2&oe=5F4A34D2," food, food",FACEBOOK,SOCIAL_NETWORK,100050272251033
170785923686792,745005402931505,https://www.facebook.com/groups/170785923686792/permalink/745005402931505,2020-07-21,2020-07-31,2020-07-31,Sáng mùng 1,243,5,2,2,0,1,0,0,9,253,,,https://scontent-ams4-1.xx.fbcdn.net/v/t1.0-9/109664606_3146094435474096_1896052694437704165_o.jpg?_nc_cat=105&_nc_sid=ca434c&_nc_ohc=ksrmfrGbhV8AX9gLCHF&_nc_ht=scontent-ams4-1.xx&oh=82c8f2e671df377cf4dc22000cdf9caf&oe=5F4AD2DF,,FACEBOOK,SOCIAL_NETWORK,100002207117226
